Date,Severity,Crashes
6/7/2009,Possible/Unknown,14
6/8/2009,Property Damage Only,92
6/8/2009,Minor Injury,9
6/8/2009,Major Injury,2
6/8/2009,Possible/Unknown,18
6/9/2009,Property Damage Only,98
6/9/2009,Minor Injury,9
6/9/2009,Major Injury,2
6/9/2009,Fatal,1
6/9/2009,Possible/Unknown,17
6/10/2009,Property Damage Only,78
6/10/2009,Minor Injury,17
6/10/2009,Major Injury,2
6/10/2009,Possible/Unknown,15
6/11/2009,Property Damage Only,105
6/11/2009,Minor Injury,13
6/11/2009,Major Injury,2
6/11/2009,Possible/Unknown,19
6/12/2009,Property Damage Only,145
6/12/2009,Minor Injury,16
6/12/2009,Major Injury,5
6/12/2009,Fatal,2
6/12/2009,Possible/Unknown,33
6/13/2009,Property Damage Only,98
6/13/2009,Minor Injury,14
6/13/2009,Major Injury,4
6/13/2009,Possible/Unknown,14
6/14/2009,Property Damage Only,71
6/14/2009,Minor Injury,20
6/14/2009,Major Injury,8
6/14/2009,Fatal,5
6/14/2009,Possible/Unknown,21
6/15/2009,Property Damage Only,99
6/15/2009,Minor Injury,5
6/15/2009,Major Injury,2
6/15/2009,Possible/Unknown,21
6/16/2009,Property Damage Only,94
6/16/2009,Minor Injury,14
6/16/2009,Major Injury,1
6/16/2009,Possible/Unknown,19
6/17/2009,Property Damage Only,95
6/17/2009,Minor Injury,15
6/17/2009,Major Injury,5
6/17/2009,Possible/Unknown,14
6/18/2009,Property Damage Only,98
6/18/2009,Minor Injury,18
6/18/2009,Major Injury,4
6/18/2009,Fatal,4
6/18/2009,Possible/Unknown,29
6/19/2009,Property Damage Only,122
6/19/2009,Minor Injury,23
6/19/2009,Major Injury,7
6/19/2009,Possible/Unknown,31
6/20/2009,Property Damage Only,116
6/20/2009,Minor Injury,22
6/20/2009,Major Injury,7
6/20/2009,Fatal,3
6/20/2009,Possible/Unknown,18
6/21/2009,Property Damage Only,89
6/21/2009,Minor Injury,15
6/21/2009,Major Injury,3
6/21/2009,Possible/Unknown,10
6/22/2009,Property Damage Only,87
6/22/2009,Minor Injury,11
6/22/2009,Major Injury,8
6/22/2009,Fatal,2
6/22/2009,Possible/Unknown,25
6/23/2009,Property Damage Only,107
6/23/2009,Minor Injury,14
6/23/2009,Major Injury,5
6/23/2009,Fatal,2
6/23/2009,Possible/Unknown,19
6/24/2009,Property Damage Only,95
6/24/2009,Minor Injury,21
6/24/2009,Major Injury,7
6/24/2009,Possible/Unknown,23
6/25/2009,Property Damage Only,103
6/25/2009,Minor Injury,12
6/25/2009,Major Injury,7
6/25/2009,Fatal,1
6/25/2009,Possible/Unknown,20
6/26/2009,Property Damage Only,103
6/26/2009,Minor Injury,9
6/26/2009,Major Injury,4
6/26/2009,Fatal,2
6/26/2009,Possible/Unknown,25
6/27/2009,Property Damage Only,84
6/27/2009,Minor Injury,15
6/27/2009,Major Injury,11
6/27/2009,Possible/Unknown,20
6/28/2009,Property Damage Only,81
6/28/2009,Minor Injury,18
6/28/2009,Major Injury,8
6/28/2009,Possible/Unknown,10
6/29/2009,Property Damage Only,83
6/29/2009,Minor Injury,12
6/29/2009,Major Injury,6
6/29/2009,Fatal,2
6/29/2009,Possible/Unknown,35
6/30/2009,Property Damage Only,102
6/30/2009,Minor Injury,13
6/30/2009,Major Injury,3
6/30/2009,Possible/Unknown,13
7/1/2009,Property Damage Only,85
7/1/2009,Minor Injury,17
7/1/2009,Major Injury,4
7/1/2009,Fatal,1
7/1/2009,Possible/Unknown,25
7/2/2009,Property Damage Only,117
7/2/2009,Minor Injury,18
7/2/2009,Major Injury,5
7/2/2009,Possible/Unknown,21
7/3/2009,Property Damage Only,76
7/3/2009,Minor Injury,14
7/3/2009,Major Injury,2
7/3/2009,Possible/Unknown,27
7/4/2009,Property Damage Only,95
7/4/2009,Minor Injury,16
7/4/2009,Major Injury,2
7/4/2009,Possible/Unknown,14
7/5/2009,Property Damage Only,73
7/5/2009,Minor Injury,12
7/5/2009,Major Injury,5
7/5/2009,Fatal,2
7/5/2009,Possible/Unknown,10
7/6/2009,Property Damage Only,95
7/6/2009,Minor Injury,18
7/6/2009,Major Injury,6
7/6/2009,Possible/Unknown,26
7/7/2009,Property Damage Only,98
7/7/2009,Minor Injury,18
7/7/2009,Major Injury,4
7/7/2009,Possible/Unknown,22
7/8/2009,Property Damage Only,100
7/8/2009,Minor Injury,9
7/8/2009,Major Injury,6
7/8/2009,Fatal,2
7/8/2009,Possible/Unknown,18
7/9/2009,Property Damage Only,85
7/9/2009,Minor Injury,12
7/9/2009,Major Injury,4
7/9/2009,Fatal,2
7/9/2009,Possible/Unknown,16
7/10/2009,Property Damage Only,121
7/10/2009,Minor Injury,20
