Date of Crash,Crash Severity,Crashes
06/12/2009,Possible/Unknown,33
06/13/2009,Property Damage Only,98
06/13/2009,Possible/Unknown,14
06/13/2009,Major Injury,4
06/13/2009,Minor Injury,14
06/14/2009,Property Damage Only,71
06/14/2009,Minor Injury,20
06/14/2009,Major Injury,8
06/14/2009,Fatal,5
06/14/2009,Possible/Unknown,21
06/15/2009,Major Injury,2
06/15/2009,Minor Injury,5
06/15/2009,Possible/Unknown,21
06/15/2009,Property Damage Only,99
06/16/2009,Possible/Unknown,19
06/16/2009,Major Injury,1
06/16/2009,Property Damage Only,94
06/16/2009,Minor Injury,14
06/17/2009,Property Damage Only,95
06/17/2009,Major Injury,5
06/17/2009,Minor Injury,15
06/17/2009,Possible/Unknown,14
06/18/2009,Minor Injury,18
06/18/2009,Property Damage Only,98
06/18/2009,Possible/Unknown,29
06/18/2009,Major Injury,4
06/18/2009,Fatal,4
06/19/2009,Major Injury,7
06/19/2009,Possible/Unknown,31
06/19/2009,Minor Injury,23
06/19/2009,Property Damage Only,122
06/20/2009,Possible/Unknown,18
06/20/2009,Fatal,3
06/20/2009,Major Injury,7
06/20/2009,Minor Injury,22
06/20/2009,Property Damage Only,116
06/21/2009,Minor Injury,15
06/21/2009,Possible/Unknown,10
06/21/2009,Property Damage Only,89
06/21/2009,Major Injury,3
06/22/2009,Minor Injury,11
06/22/2009,Possible/Unknown,25
06/22/2009,Property Damage Only,87
06/22/2009,Fatal,2
06/22/2009,Major Injury,8
06/23/2009,Minor Injury,14
06/23/2009,Major Injury,5
06/23/2009,Possible/Unknown,19
06/23/2009,Property Damage Only,107
06/23/2009,Fatal,2
06/24/2009,Minor Injury,21
06/24/2009,Major Injury,7
06/24/2009,Possible/Unknown,23
06/24/2009,Property Damage Only,95
06/25/2009,Fatal,1
06/25/2009,Property Damage Only,103
06/25/2009,Major Injury,7
06/25/2009,Possible/Unknown,20
06/25/2009,Minor Injury,12
06/26/2009,Major Injury,4
06/26/2009,Minor Injury,9
06/26/2009,Possible/Unknown,25
06/26/2009,Fatal,2
06/26/2009,Property Damage Only,103
06/27/2009,Property Damage Only,84
06/27/2009,Minor Injury,15
06/27/2009,Major Injury,11
06/27/2009,Possible/Unknown,20
06/28/2009,Possible/Unknown,10
06/28/2009,Minor Injury,18
06/28/2009,Property Damage Only,81
06/28/2009,Major Injury,8
06/29/2009,Property Damage Only,83
06/29/2009,Fatal,2
06/29/2009,Minor Injury,12
06/29/2009,Possible/Unknown,35
06/29/2009,Major Injury,6
06/30/2009,Possible/Unknown,13
06/30/2009,Minor Injury,13
06/30/2009,Property Damage Only,102
06/30/2009,Major Injury,3
07/01/2009,Possible/Unknown,25
07/01/2009,Property Damage Only,85
07/01/2009,Major Injury,4
07/01/2009,Minor Injury,17
07/01/2009,Fatal,1
07/02/2009,Minor Injury,18
07/02/2009,Major Injury,5
07/02/2009,Possible/Unknown,21
07/02/2009,Property Damage Only,117
07/03/2009,Minor Injury,14
07/03/2009,Property Damage Only,76
07/03/2009,Possible/Unknown,27
07/03/2009,Major Injury,2
07/04/2009,Possible/Unknown,14
07/04/2009,Property Damage Only,95
07/04/2009,Minor Injury,16
07/04/2009,Major Injury,2
07/05/2009,Major Injury,5
07/05/2009,Property Damage Only,73
07/05/2009,Minor Injury,12
07/05/2009,Fatal,2
07/05/2009,Possible/Unknown,10
07/06/2009,Possible/Unknown,26
07/06/2009,Minor Injury,18
07/06/2009,Property Damage Only,95
07/06/2009,Major Injury,6
07/07/2009,Major Injury,4
07/07/2009,Property Damage Only,98
07/07/2009,Possible/Unknown,22
07/07/2009,Minor Injury,18
07/08/2009,Minor Injury,9
07/08/2009,Possible/Unknown,18
07/08/2009,Property Damage Only,100
07/08/2009,Major Injury,6
07/08/2009,Fatal,2
07/09/2009,Major Injury,4
07/09/2009,Fatal,2
07/09/2009,Property Damage Only,85
07/09/2009,Possible/Unknown,16
07/09/2009,Minor Injury,12
07/10/2009,Major Injury,3
